;plot_id;Biomass;plot;ABMMO;acacm;ACACO;adizo;UK1;AGECO;alblu;amlmi;ZNODU;atdve;atdso;apooc;adapo;bwusol;BIDPI;BLUSO;BOEER;srpqu;BRNPA;BUDAS;cajcr;llrat;cwsgr;celpa;CLLAS;UK3;EUPOD;cogqu;COMBE;ERISU;CRSCR;KXLFO;cklba;CYNDA;CYPLX;CYPIR;UK2;CZTPA;dagri;dagov;DEDGA;DEDVE;DIGMB;DIGTI;DMCLO;DIUAL;DIUNU;DOSMA;ELEIN;eblts;euocc;EPHHI;EPHHL;FIUHS;FIUHT;FLCJA;fleso;AIIGA;gadso;GUGPI;gigab;glfob;grwab;HPWAR;hrspe;HYOAU;IMPCY;laeto;ETNBI;lqzru;LEFCH;lidlt;lidsp;LISMO;lisse;MCRDE;mbeto;MLLBA;MANES;mkmst;RHYRE;MIKMI;mijpc;MIMIN;MTCVI;mtgro;MOLST;MOMCH;MUCPR;MUYKO;MUBSS;rxlin;OXACO;paepi;PANNT;PANBR;PANRE;PASCO;PESPO;ocoln;PHRKA;PYLAM;PHYMI;prdse;PSIGU;pufmc;PUEPH;SALSS;SCFDU;selhl;CASSM;sjngr;ptmsia;SIDAC;smiov;SOLVE;SOLAM;SPLPA;stjcr;srlla;srunr;SBWAS;sysra;syzal;tcxim;ckssu;tssla;THNGR;thsla;TOUSS;TREOR;tvepa;VENSS;VIXQU;UK4;season;s;Easting;Northing;crop_annual;crop_trees
1;M1-D16;53.132;M1;0;0;0;0;0;16.8;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0.05;0;0;0;0;0;0;2.13;0;0;0;0;0;0;0;0.01;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;9.8;1;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D16;D;652294.31725;2213096.31925;M;none
2;M1-D17;61.286;M1;0;0;0;0;0;109.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64.6;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;1.2;0;0;0;0;0;0;0;7.02;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;95;7.8;0;0;0;0.01;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D17;D;652294.31725;2213096.31925;M;yes
3;M1-D18;45.444;M1;0;0;0;0;0;35.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111.8;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;41;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;2.8;0;0;0;0;0;0;0;5.6;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;D18;D;652294.31725;2213096.31925;ULR;none
4;M1-R16;6.258;M1;0;0;0;0;0;138;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.2;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.01;11.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;14;5.8;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;R16;R;652294.31725;2213096.31925;M;none
5;M1-R17;21.898;M1;0;0;0;0;0;42.4;0;0;0;0;0;0.01;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.02;49.8;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0;5.4;0;0;0;0.01;0;0;0;0;0;0;0;3;6;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0.4;0;0;0.2;0.4;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;R17;R;652294.31725;2213096.31925;ULR;none
6;M2-D16;65.502;M2;0;0;0;0;0;309;0;0;0;0;0;3;0;0;6.4;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;432.6;1.8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.4;0;0.4;0;0;0;0;0;0.2;0;0;0;0;0.2;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;D16;D;652580.21425;2213908.7255;M;none
7;M2-D17;143.972;M2;0;0;0;0;0;113;0;0;0;0.03;0;0;0.01;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.02;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;62.4;0;0;0.04;0;0;0;0;0;0.03;0;0;0;0;2;0;0;0;0;0;0;0;0.4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.2;0;0.03;0.01;0;0;0;D17;D;652580.21425;2213908.7255;M;none
8;M2-D18;130.142;M2;0;0;0;0;0;120.2;0;0;0;1;0;0;0;0;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102.4;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;139.4;0;0;1;0;0;0;0;17.4;0;0;0;0;0;7.4;0;0;0;0;0;0;0;0;188.4;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;1;18.6;0;0;0.8;0;0;0;0;0;0;D18;D;652580.21425;2213908.7255;F;yes
9;M2-R16;1.034;M2;0;0;0;0;0;92.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;1;33;0;0;0;0;0;0;0;0;5;0;0;0;0;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2;0;0;0;0;0;0;0;0;0;R16;R;652580.21425;2213908.7255;M;none
10;M2-R17;36.338;M2;0;0;0;0;0;133;0;0;0;0.03;0;0.01;0;0;3.4;1.8;0;0;0;0;0;0;0;0.01;0;0;0.4;0;0;211;1.4;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.07;0;0;0;0;0;0;0;77.8;0;0;1;0;0;0;0;6.2;0;0;0;0;1.8;3.4;0;0;0;0;0;0;0.01;0.4;244.4;0;4.2;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;24.6;0;0;2.8;0;0;0.01;0;0;0;R17;R;652580.21425;2213908.7255;F;yes
