Code;Species_code;Species name;Family;RI;Plant type
spi.pan;SPLPA; Acmella paniculata (Wall. ex DC.) R.K.Jansen. ; Asteraceae  ;0.183;Herb
adi.zol;adizo; Adiantum zollingeri Mett. ex Kuhn (unresolved) ; Pteridaceae ;0.014;Herb
age.con;AGECO; Ageratum conyzoides (L.) L.; Asteraceae  ;0.825;Herb
gal.;AIIGA; Alpinia galanga (L.) Willd.; Zingiberaceae;0.007;Herb
bid.pil;BIDPI; Bidens pilosa L.  ; Asteraceae  ;0.26;Herb
blu.lac;BLUSO; Blumea lacera (Burm.f.) DC.; Asteraceae  ;0.196;Herb
boe.ere;BOEER; Boerhavia erecta L.; Nyctaginaceae;0.007;Herb
cen.asi;CLLAS; Centella asiatica (L.) Urb.; Apiaceae ;0.034;Herb
chr.odo;EUPOD; Chromolaena odorata (L.) R.M.King & H.Rob.; Asteraceae  ;0.129;Herb
com.ben;COMBE; Commelina benghalensis L. ; Commelinaceae;0.007;Herb
con.sum;ERISU; Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho ; Asteraceae  ;0.579;Herb
cra.cre;CRSCR; Crassocephalum crepidioides (Benth.) S.Moore  ; Asteraceae  ;0.319;Herb
the.sub;ckssu; Cyclosorus subelatus (Baker) Ching subelata; Thelypteridaceae ;0.293;Herb
cyn.dac;CYNDA; Cynodon dactylon (L.) Pers.; Poaceae ;0.056;Herb
cyp.iri;CYPIR; Cyperus iria L.; Cyperaceae  ;0.034;Herb
cyp.lax;CYPLX; Cyperus laxus Lam. ; Cyperaceae  ;0.014;Herb
cyr.acc;CZTPA; Cyrtococcum patens var. latifolium (Honda) Ohwi; Poaceae ;0.014;Herb
dig.rad;DIGTI; Digitaria radicosa (J.Presl) Miq. ; Poaceae ;0.089;Herb
dig.set;DIGMB; Digitaria setigera Roth; Poaceae ;0.007;Herb
dio.ala;DIUAL; Dioscorea alata L. ; Dioscoreaceae;0.081;Herb
ele.ind;ELEIN; Eleusine indica (L.) Gaertn.  ; Poaceae ;0.145;Herb
eup.het;EPHHL; Euphorbia heterophylla L. ; Euphorbiaceae;0.007;Herb
eup.hir;EPHHI; Euphorbia hirta L. ; Euphorbiaceae;0.3;Herb
gig.alb;gigab; Gigantochloa albociliata (Munro) Kurz ; Poaceae ;0.014;Herb
